STANICA	DUZINA	SIRINA	VISINA	PADAVINE		
BANATSKI KARLOVAC	21.03	45.05	90	773.9		
BEOGRAD OPSERVATORIJA	20.47	44.80	132	759.6		
VALJEVO	19.92	44.28	174	980.4		
VELIKO GRADISTE	21.50	44.75	80	892.3		
VRANJE	21.92	42.55	433	809.9		
VRSAC	21.30	45.15	85	758.1		
DIMITROVGRAD	22.75	43.02	448	776.1		
ZAJECAR	22.28	43.88	144	781.6		
ZLATIBOR	19.72	43.73	1029	1292.3		
ZRENJANIN	20.38	45.40	80	748.8		
KIKINDA	20.47	45.85	81	710.3		
KOPAONIK	20.80	43.28	1711	1444.8		
KOSUTNJAK	20.42	44.77	203	791.1		
KRAGUJEVAC	20.93	44.03	181	818.5		
KRALJEVO	20.70	43.72	219	834.6		
KRUSEVAC	21.33	43.57	166	933.1		
KURSUMLIJA	21.27	43.13	384	806.9		
LESKOVAC	21.95	42.98	231	810.4		
LOZNICA	19.23	44.53	121	967.3		
NEGOTIN	22.53	44.23	42	744.7		
NIS	21.90	43.33	202	771		
PALIC	19.77	46.10	102	684.9		
POZEGA	20.03	43.85	311	999.9		
RIMSKI SANCEVI	19.83	45.32	86	770.7		
RC BESNJAJA	21.05	44.00	552	981.1		
RC VALJEVO	19.92	44.37	378	970.5		
RC KUKAVICA	21.95	42.78	1438	1273.5		
RC KRUSEVAC	21.25	43.62	404	995.1		
RC NIS	21.95	43.40	807	927.7		
RC PETROVAC	21.33	44.33	279	802.2		
RC SJENICA	19.97	43.27	1240	1067.1		
RC UZICE	19.83	43.88	822	1113.6		
SJENICA	20.00	43.27	1038	744.9		
SMEDEREVSKA PALANKA	20.95	44.37	121	667.5		
SOMBOR	19.15	45.77	87	761.6		
SREMSKA MITROVICA	19.55	45.02	81	614.7		
SURCIN	20.28	44.82	99	726.2		
CUPRIJA	21.38	43.93	123	851.8		
CRNI VRH	21.97	44.13	1037	904.5		
BACKA TOPOLA	19.64	45.81	110	NA		
LAZAREVAC	 20.25	44.37	161	NA		
SABAC	19.7	44.75	77	NA		
INDJIJA	20.08	45.05	114	NA		
IVANJICA	20.23	43.58	468	NA		
MAJDANPEK	21.93	44.42	498	NA		
KNJAZEVAC	22.27	43.57	263	NA		
