"STANICA"	"Y"	"X"	"H"	"PADAVINE"
"BANATSKI KARLOVAC"	7502485.87716805	4989492.37484721	90	773.9
"BEOGRAD OPSERVATORIJA"	7458191.82577751	4961850.29178333	132	759.6
"VALJEVO"	7413913.52756177	4904504.22365502	174	980.4
"VELIKO GRADISTE"	7539712.22959761	4956276.4534753	80	892.3
"VRANJE"	7575668.49611596	4712155.29823837	433	809.9
"VRSAC"	7523713.14812281	5000647.25450788	85	758.1
"DIMITROVGRAD"	7642752.872643	4765435.64145045	448	776.1
"ZAJECAR"	7602979.14431788	4860285.28572003	144	781.6
"ZLATIBOR"	7396998.60559583	4843627.93862712	1029	1292.3
"ZRENJANIN"	7451585.14893611	5028574.71383538	80	748.8
"KIKINDA"	7458963.62242738	5078534.04491287	81	710.3
"KOPAONIK"	7483883.20905701	4792856.54130595	1711	1444.8
"KOSUTNJAK"	7454212.27863947	4958543.92806586	203	791.1
"KRAGUJEVAC"	7494507.56591118	4876160.24582808	181	818.5
"KRALJEVO"	7475944.96727586	4841761.54479006	219	834.6
"KRUSEVAC"	7526772.66995555	4825104.66893211	166	933.1
"KURSUMLIJA"	7522082.47772692	4776208.20465465	384	806.9
"LESKOVAC"	7577596.25362273	4759946.26414142	231	810.4
"LOZNICA"	7359438.69260165	4933240.43538598	121	967.3
"NEGOTIN"	7622348.58399772	4899512.53763654	42	744.7
"NIS"	7573101.89526752	4798781.63890201	202	771
"PALIC"	7405028.37366387	5106920.01590257	102	684.9
"POZEGA"	7422129.50571704	4856619.78872412	311	999.9
"RIMSKI SANCEVI"	7408396.88962787	5020165.01368352	86	770.7
"RC BESNJAJA"	7504128.43406689	4872825.67263487	552	981.1
"RC VALJEVO"	7414045.61120875	4914503.97676291	378	970.5
"RC KUKAVICA"	7577846.1222661	4737730.07758139	1438	1273.5
"RC KRUSEVAC"	7520294.1202922	4830637.04760088	404	995.1
"RC NIS"	7577068.44290407	4806602.72406955	807	927.7
"RC PETROVAC"	7526438.22243261	4909541.19055019	279	802.2
"RC SJENICA"	7416504.81112907	4792243.85169951	1240	1067.1
"RC UZICE"	7406096.63380403	4860161.43177953	822	1113.6
"SJENICA"	7418940.09067969	4792214.18940824	1038	744.9
"SMEDEREVSKA PALANKA"	7496135.08513329	4913934.88351402	121	667.5
"SOMBOR"	7356240.47148896	5071175.00047024	87	761.6
"SREMSKA MITROVICA"	7385845.5074496	4987185.49045139	81	614.7
"SURCIN"	7443180.10513891	4964188.730139	99	726.2
"CUPRIJA"	7530629.47167481	4865116.62642135	123	851.8
"CRNI VRH"	7577741.64913044	4887722.6748398	1037	904.5
"BACKA TOPOLA"	7394426.18914602	5074853.87867604	110	780.82276424874
"LAZAREVAC"	7440346.15990314	4914209.28208848	161	862.431542358607
"SABAC"	7397185.72265941	4956982.22455846	77	762.62606199209
"INDJIJA"	7427653.76192895	4989906.44684178	114	785.675300680833
"IVANJICA"	7437929.93906018	4826453.99843131	468	968.14118474959
"MAJDANPEK"	7574176.74074673	4919906.97551128	498	981.322825109772
"KNJAZEVAC"	7602702.02206199	4825832.68306253	263	959.411315442677
